A,B,C,D,E
3.0,7.2,2.12,14.2,1.52
5.7,26.1,1.0,19.7,4.9
6.0,8.8,2.44,10.0,1.44
2.3,20.7,2.18,18.4,2.72
1.9,21.2,2.36,16.0,3.24
3.6,32.1,2.16,10.2,3.4
0.3,26.5,1.9,19.0,4.22
9.1,39.9,1.66,14.3,3.96
1.9,29.2,3.0,10.6,3.98
5.9,20.6,2.92,13.2,2.28
2.3,33.2,1.48,10.8,4.18
4.9,7.6,1.82,12.9,4.78
4.8,28.7,1.56,11.7,1.54
5.0,4.6,1.48,15.5,2.62
9.5,10.9,2.06,18.9,1.12
3.5,19.9,2.44,18.3,4.62
9.7,20.9,2.32,20.1,3.02
9.9,37.5,1.28,13.0,4.94
6.5,15.3,1.06,17.1,1.26
7.8,0.9,1.74,16.2,4.64
3.3,35.2,1.38,18.6,2.14
3.5,15.6,1.44,14.9,1.86
0.5,26.0,1.72,18.8,4.46
3.8,7.6,2.22,10.0,1.26
4.1,25.6,1.14,18.1,1.86
5.7,13.0,1.72,11.8,4.36
1.1,6.6,1.88,16.3,2.44
0.2,22.7,2.92,15.2,1.02
1.7,16.2,1.64,10.5,1.08
3.9,1.4,1.12,11.6,2.78
2.0,23.1,1.42,14.5,2.72
1.4,19.4,1.08,17.1,3.78
9.6,34.8,1.28,17.2,2.54
9.8,2.9,1.4,20.0,3.52
2.5,35.8,2.76,15.4,2.52
0.7,33.7,1.32,19.0,2.96
9.9,33.0,2.1,19.9,1.92
9.3,31.5,1.98,10.5,2.56
8.6,29.5,1.12,16.9,4.24
4.1,32.9,1.98,16.7,3.3
4.3,21.9,2.18,18.5,3.92
1.3,37.6,2.64,13.9,2.56
7.7,14.6,1.12,19.0,4.8
0.1,25.8,1.78,20.0,3.28
3.6,29.1,1.88,16.5,1.14
6.8,29.8,2.16,10.8,1.44
3.7,14.2,2.74,11.0,1.24
4.0,23.4,2.48,11.9,1.44
6.1,11.4,2.08,14.2,1.6
5.9,36.4,2.26,15.7,4.14
1.3,8.9,2.28,17.7,4.38
8.8,20.7,2.06,12.5,3.58
8.3,16.3,2.9,13.7,3.76
0.1,8.3,1.78,19.3,4.04
6.9,7.6,2.04,13.5,4.12
1.6,16.0,1.86,20.1,1.42
8.8,0.4,2.24,19.8,3.5
2.7,7.7,1.02,15.4,3.92
6.5,9.0,2.56,10.5,5.0
3.4,8.6,1.4,10.2,4.36
10.0,26.9,2.74,16.4,4.3
0.4,10.3,1.98,16.3,4.12
6.4,33.8,2.6,15.7,2.46
3.9,17.4,2.02,15.7,1.42
7.5,5.3,1.16,11.7,1.14
5.5,38.7,2.96,12.2,1.92
3.5,21.0,1.38,19.5,3.66
4.4,9.4,2.64,12.8,1.12
2.2,22.2,1.34,12.2,4.26
4.6,0.8,2.66,13.5,3.7
3.0,5.2,1.58,16.9,2.74
1.0,7.6,2.28,18.0,1.9
0.9,20.5,1.46,18.1,2.26
6.6,31.5,2.74,19.4,4.16
1.3,30.1,1.92,10.5,1.44
7.9,30.9,2.64,13.3,2.2
7.3,32.9,2.86,14.3,1.98
9.2,11.1,2.78,14.3,1.9
0.9,35.0,1.86,12.6,1.84
7.5,16.4,1.56,19.9,3.74
9.3,27.8,2.52,15.1,2.88
0.0,2.6,2.34,14.1,3.94
0.4,6.9,1.32,12.4,3.86
1.9,21.7,2.92,17.3,1.04
0.7,36.4,1.08,13.8,1.58
4.2,18.8,2.82,13.8,1.34
7.5,33.2,2.74,11.1,4.72
0.0,30.5,2.6,11.0,4.94
5.6,12.3,1.98,10.2,1.68
6.3,1.8,1.78,12.1,3.92
8.3,25.6,1.9,10.3,1.5
2.7,29.5,2.0,10.7,1.68
3.6,2.1,1.2,11.3,2.5
4.6,36.7,1.22,18.3,2.42
10.0,3.9,1.24,18.7,2.12
7.5,3.7,2.26,11.3,3.0
3.6,4.7,1.14,19.1,1.96
4.8,18.2,2.28,11.5,1.18
4.3,7.4,1.16,13.1,3.08
5.5,20.8,2.82,16.3,4.12
2.7,18.2,1.02,17.5,3.06
7.8,10.6,2.54,11.5,2.4
0.5,18.7,1.24,15.1,2.94
6.0,26.3,1.02,11.8,2.34
1.9,8.5,2.34,16.8,2.54
7.7,32.3,2.5,11.1,1.46
0.1,33.0,1.94,19.2,1.84
7.2,13.6,2.46,10.4,2.88
3.6,34.5,1.04,14.1,3.5
1.9,38.5,2.34,11.6,4.32
2.5,33.5,1.1,17.1,2.82
2.8,9.4,2.72,19.3,4.04
0.0,32.5,1.08,10.9,2.64
3.4,24.4,1.04,18.3,4.9
6.9,8.9,1.18,11.5,1.66
10.0,5.8,1.84,11.5,3.36
5.8,2.7,1.36,14.1,2.04
6.8,7.1,1.26,10.2,4.64
3.2,26.9,1.4,12.2,2.04
5.0,2.3,1.84,18.5,3.9
7.7,11.1,1.54,12.7,3.32
1.1,29.9,1.4,14.4,3.68
1.9,5.5,1.7,19.9,4.8
5.2,22.2,1.46,16.7,2.48
8.7,11.9,2.06,20.1,1.82
4.2,17.8,1.74,12.3,3.76
9.7,28.7,1.32,11.8,3.72
8.8,28.0,1.42,17.4,1.68
4.9,37.1,2.64,13.9,3.0
2.8,18.8,1.88,14.5,2.72
5.6,6.5,2.46,13.9,2.92
3.8,29.7,2.2,16.1,4.84
9.4,24.8,1.2,11.7,2.66
5.5,7.5,2.2,11.1,1.08
4.2,13.6,1.74,11.3,4.06
4.9,16.3,2.3,18.1,2.0
2.2,23.2,1.64,16.0,1.74
4.3,25.4,1.84,11.1,1.04
3.7,29.3,1.6,12.6,4.72
8.3,16.9,1.68,10.5,1.24
2.2,31.6,1.72,18.7,4.24
4.4,17.3,1.92,13.2,2.72
5.1,34.4,2.98,17.9,1.04
7.9,1.7,1.44,14.9,4.6
4.9,6.9,1.7,11.1,2.08
0.7,33.7,1.78,19.4,4.44
8.4,11.5,2.78,15.6,2.3
0.0,7.9,2.76,20.0,4.88
0.7,1.4,2.6,15.2,2.66
2.8,17.5,1.28,11.2,4.42
9.5,26.8,1.72,17.1,2.44
0.4,11.8,1.06,20.1,3.22
8.5,29.8,1.42,10.2,4.9
4.6,18.7,2.6,16.3,2.22
3.3,5.6,1.42,18.3,1.48
6.4,19.8,2.6,15.7,2.02
5.4,1.6,2.54,10.3,1.98
8.9,28.7,2.54,14.4,3.42
4.2,5.4,1.32,16.5,3.56
7.3,26.8,2.42,13.5,1.76
2.9,30.2,2.94,12.2,2.02
8.1,8.6,2.78,11.8,2.5
1.6,31.7,2.86,13.9,1.78
2.5,2.8,2.7,17.1,2.18
0.7,2.1,2.58,11.5,5.0
4.6,32.0,2.86,15.7,3.18
7.5,28.4,2.58,11.7,2.66
9.0,4.7,1.74,13.5,4.92
7.1,0.4,1.46,12.3,1.38
8.8,24.9,2.98,10.0,2.68
4.5,16.2,2.96,10.0,1.02
6.7,20.1,1.1,16.3,3.1
3.2,10.0,2.34,16.1,1.16
0.0,7.0,2.62,13.5,4.32
1.8,16.2,1.1,17.4,4.14
3.0,17.2,1.5,11.7,4.62
7.9,14.0,3.0,11.5,2.14
1.3,13.7,2.8,11.6,4.42
5.2,6.5,1.8,12.3,1.84
4.7,19.7,2.48,19.7,3.74
6.8,32.7,1.74,16.7,3.16
8.9,22.7,2.58,19.8,1.94
6.1,28.0,2.64,17.8,3.5
9.1,17.1,1.84,10.1,3.88
6.5,31.5,2.04,19.4,3.54
6.3,3.9,1.28,17.2,3.64
6.9,0.6,2.78,10.9,4.94
6.2,17.3,2.1,15.2,4.82
7.2,15.0,2.1,18.8,3.12
3.2,21.0,1.6,15.0,4.86
4.0,30.1,2.64,16.8,2.4
8.8,8.5,2.12,11.3,3.62
4.7,39.6,2.0,20.1,3.0
1.2,25.2,1.46,16.5,2.64
7.2,2.0,2.14,18.1,1.54
7.6,25.6,2.44,19.2,3.1
3.0,37.8,2.72,15.2,1.74
7.4,38.0,1.06,18.3,2.3
6.7,3.2,1.18,16.3,4.88
9.7,25.9,2.24,17.1,4.74
0.3,23.3,2.44,20.0,1.92
1.8,0.2,2.64,14.8,3.1
6.9,34.6,1.28,18.9,3.04
9.7,30.7,2.94,16.1,1.48
8.1,22.6,2.24,13.6,2.3
1.2,28.3,1.36,14.8,2.56
2.2,6.9,2.24,16.7,2.32
8.2,31.2,2.1,13.2,4.92
7.4,36.3,1.4,12.1,1.78
0.0,25.3,1.66,16.9,2.98
8.7,14.3,1.32,13.2,4.54
5.3,2.3,1.34,12.7,3.28
7.0,23.3,2.6,18.7,4.34
8.8,33.2,2.3,10.3,3.36
8.4,17.4,2.0,16.5,4.28
1.4,33.1,2.28,17.6,4.92
6.4,32.4,1.84,14.8,3.88
7.5,35.6,2.12,11.0,2.22
7.0,15.8,1.18,13.4,4.36
1.4,34.7,1.72,13.8,2.5
2.0,34.7,1.94,10.9,4.38
1.8,28.5,2.36,17.3,1.6
5.9,1.7,2.1,17.1,1.64
9.2,4.3,2.5,16.8,1.84
8.8,15.4,1.7,12.2,2.84
3.2,35.4,1.6,13.3,4.88
4.8,37.6,2.08,13.1,1.74
9.5,23.0,1.74,11.5,1.8
3.4,37.0,2.44,16.7,3.34
4.3,31.5,2.78,15.3,4.8
8.9,22.4,1.28,12.7,4.34
1.0,21.6,1.3,15.9,4.14
9.8,5.5,2.52,17.7,4.48
7.1,3.0,2.76,17.5,1.42
7.7,35.6,2.86,15.9,2.9
7.3,5.8,2.04,18.4,3.52
6.5,37.9,2.1,17.9,4.64
4.5,38.5,1.12,14.3,4.4
0.8,35.2,2.12,10.1,2.2
0.2,23.4,2.08,12.2,2.46
8.4,10.6,2.02,19.2,1.62
2.5,19.0,1.06,14.5,3.62
7.1,1.7,1.84,17.2,1.88
4.7,40.0,1.78,15.3,2.42
6.5,22.5,1.58,17.0,1.38
6.9,16.6,1.18,19.2,4.96
2.7,7.0,2.86,18.0,2.28
9.2,36.1,1.12,10.8,4.74
2.5,5.3,1.7,16.9,2.76
2.4,24.4,1.68,14.3,4.06
1.1,34.9,2.74,18.3,5.0
0.4,7.5,1.76,17.3,1.44
9.7,3.4,1.7,17.2,1.78
4.7,26.6,1.38,11.1,3.58
3.6,31.6,1.96,19.6,4.06
7.8,29.9,2.9,13.1,2.54
4.3,12.0,2.16,13.3,4.78
9.9,32.3,1.96,18.2,1.86
1.4,2.4,2.78,13.2,4.16
4.2,15.9,1.5,16.3,4.06
4.7,8.3,1.7,14.7,3.24
8.6,11.3,1.84,11.5,2.64
6.9,22.2,2.96,14.9,3.32
4.5,38.7,1.84,12.2,1.08
4.2,16.5,2.96,12.5,3.4
2.0,19.0,2.5,15.3,2.38
2.2,17.4,1.64,14.3,1.68
7.9,0.0,2.98,13.6,1.3
4.6,38.6,2.54,10.8,4.16
1.4,22.8,2.92,19.3,1.26
2.4,8.5,1.88,11.2,1.48
3.5,6.1,1.88,15.9,2.56
7.4,31.9,2.74,17.9,3.0
5.0,40.0,1.28,10.1,3.08
1.4,38.1,2.88,19.4,4.96
6.7,20.5,1.32,15.9,3.9
2.0,10.4,1.22,15.6,4.54
1.2,31.7,1.42,14.2,1.38
8.5,29.0,1.44,11.8,2.1
1.8,24.9,2.78,11.0,3.58
3.3,1.2,2.54,17.7,4.06
7.7,16.2,1.22,14.6,1.44
6.7,4.2,2.34,18.8,1.62
5.1,38.5,2.0,16.2,3.8
2.6,11.0,1.24,10.6,1.24
2.8,20.4,2.12,17.8,3.88
2.7,38.3,2.08,19.3,4.7
3.4,25.5,2.62,13.0,1.52
0.7,30.6,1.54,18.7,3.88
1.5,14.3,1.86,15.4,4.3
3.5,14.5,1.36,12.4,1.26
2.9,39.0,1.9,17.1,3.82
1.7,30.0,1.04,12.9,3.78
0.1,16.3,2.64,13.5,2.36
4.8,16.8,1.38,14.9,2.34
7.6,29.7,1.48,11.3,2.08
0.3,23.2,2.48,12.8,4.8
8.9,39.0,2.1,12.6,1.56
8.8,27.0,2.6,14.9,2.76
9.3,5.9,2.2,13.5,1.88
7.4,29.5,2.08,13.3,3.62
0.6,23.4,1.68,12.0,3.86
9.4,16.4,2.54,13.7,2.3
7.3,19.3,2.16,17.4,1.44
3.8,23.3,1.76,19.6,2.34
1.2,36.7,2.12,17.8,3.94
3.0,18.2,2.64,17.5,3.88
7.0,33.2,2.32,18.7,4.58
6.2,23.1,1.66,14.9,1.1
5.5,36.0,1.8,13.6,2.62
4.1,10.6,1.42,17.4,3.44
6.0,37.7,1.52,11.8,4.32
4.1,22.2,1.4,10.0,3.08
5.5,7.9,1.8,18.0,1.66
3.5,23.3,1.6,13.9,2.06
8.3,38.0,1.52,15.4,2.62
6.7,18.3,1.72,17.9,2.86
0.6,18.4,2.3,12.5,2.28
5.3,13.3,2.06,14.2,2.72
0.0,21.9,1.16,15.8,1.56
4.3,28.7,2.64,15.0,1.8
4.4,36.3,1.82,11.4,3.08
4.6,20.1,1.7,10.7,2.24
1.2,36.9,1.18,19.3,4.18
2.1,14.5,2.16,11.3,2.3
2.0,32.3,1.78,19.6,3.22
8.5,12.6,2.06,10.6,2.98
9.1,13.4,1.76,11.7,4.44
0.8,11.3,1.12,11.1,3.88
2.5,26.3,1.06,10.1,4.4
0.8,6.3,1.28,14.9,2.3
1.4,13.4,2.5,19.2,2.34
0.9,4.0,1.94,12.0,1.66
8.7,29.5,1.1,10.6,1.0
4.1,0.2,2.44,19.0,4.0
7.1,40.0,1.68,11.1,3.66
2.3,19.3,2.42,18.3,1.3
7.9,10.9,2.4,15.6,1.02
4.8,22.0,2.34,17.7,3.3
2.5,36.9,2.14,17.3,2.5
9.0,36.7,2.52,12.2,1.52
3.6,0.3,1.36,12.9,1.36
6.7,24.3,2.22,15.7,1.54
4.9,38.9,2.4,19.4,1.68
2.3,16.5,1.18,15.1,3.28
1.8,2.5,1.48,15.5,2.34
9.9,39.4,1.86,10.9,1.96
5.9,1.6,2.96,11.8,1.12
3.8,21.5,2.14,11.8,1.72
7.3,9.1,1.48,18.6,3.28
8.8,3.0,2.84,15.8,4.04
1.7,20.4,2.5,14.3,3.28
1.8,39.9,1.78,15.8,1.8
3.5,20.6,2.5,19.5,2.6
7.3,10.6,2.38,18.3,2.22
9.6,14.5,1.18,10.3,4.36
5.4,36.6,2.3,19.6,3.82
6.8,10.0,1.48,16.4,4.62
4.6,36.7,2.4,11.2,1.02
4.8,31.7,2.72,16.6,2.74
9.8,36.7,1.2,11.1,1.94
9.7,24.0,1.7,19.2,4.56
3.2,24.6,1.96,15.4,2.08
2.0,16.2,1.94,16.0,1.22
8.0,37.1,2.72,19.4,4.92
2.1,17.2,1.12,14.0,1.0
4.7,3.4,2.8,13.5,4.72
3.6,28.3,2.52,10.1,5.0
1.4,35.8,2.0,12.1,3.04
3.4,38.0,1.32,12.1,1.66
9.1,35.7,1.62,14.0,3.22
7.0,39.2,1.5,19.4,1.9
3.1,39.8,1.42,11.3,4.72
1.0,2.0,1.24,19.2,4.86
0.9,30.7,1.22,13.4,3.92
7.2,16.2,2.4,14.9,4.1
7.7,9.6,1.0,10.8,2.96
7.6,30.6,1.64,19.5,4.34
5.6,33.8,1.26,15.8,2.12
2.4,5.4,2.26,15.5,2.0
0.1,33.2,1.84,19.0,1.42
6.3,12.6,2.14,10.9,2.34
3.4,19.2,1.8,12.4,3.7
0.6,24.2,2.6,14.4,2.18
8.4,34.8,2.34,19.6,2.28
1.7,8.7,1.76,11.0,1.7
6.6,33.5,1.0,20.0,4.96
4.1,21.4,1.8,10.8,1.56
3.8,9.1,1.88,10.6,4.84
4.0,30.2,2.74,17.0,2.1
7.4,23.4,2.94,13.3,2.62
2.3,18.3,2.94,18.2,3.62
5.9,3.7,2.74,11.9,4.98
4.5,13.8,2.56,18.8,4.54
1.8,19.4,2.6,10.4,4.32
6.7,1.4,1.24,19.2,4.24
8.9,25.6,2.4,15.4,4.04
4.1,13.4,1.16,19.0,1.86
3.1,0.0,2.24,18.8,4.48
3.8,4.8,2.96,20.0,4.34
3.5,9.5,1.44,11.4,1.6
10.0,20.0,2.06,14.7,4.92
9.6,2.5,1.92,10.3,2.6
3.5,34.2,1.76,17.7,2.46
0.2,23.4,2.72,18.0,4.4
7.2,34.8,1.5,12.0,3.46
0.7,24.3,1.0,17.9,4.64
9.6,35.7,1.26,18.9,1.3
6.9,32.6,2.9,10.8,2.34
4.0,39.5,2.46,16.5,3.36
6.7,35.0,2.28,17.8,2.36
1.2,37.3,2.36,13.4,1.82
4.8,37.4,2.32,18.7,3.18
5.9,5.0,1.96,15.0,1.8
0.1,8.0,1.98,20.1,1.98
5.9,3.5,2.14,17.7,1.1
0.4,6.6,2.04,20.0,2.48
4.3,12.8,2.8,13.6,4.6
2.6,36.9,2.12,10.5,1.32
3.1,15.4,2.7,18.1,3.08
2.0,24.4,1.34,18.5,4.68
0.7,11.0,1.3,18.1,2.32
7.1,16.7,1.02,15.0,3.86
4.9,14.1,1.24,16.5,4.58
6.6,35.5,1.88,19.5,2.98
4.3,19.6,2.58,11.6,2.78
5.7,10.8,2.42,16.4,4.22
0.2,37.5,1.84,10.8,2.6
8.5,7.8,2.42,11.2,3.28
6.9,38.9,2.06,19.9,1.38
0.1,16.0,2.46,20.0,2.58
8.6,1.8,2.92,15.7,2.1
4.3,12.6,1.6,12.9,4.56
0.1,20.4,2.5,13.0,2.04
8.0,2.8,1.16,12.2,1.96
3.4,20.6,3.0,16.2,1.06
9.7,27.9,2.44,12.7,1.34
8.6,15.0,1.94,15.8,1.7
2.9,23.9,1.34,10.9,3.32
0.7,26.5,2.86,18.8,1.68
2.1,18.1,2.9,19.9,1.58
4.3,10.4,2.72,18.9,3.34
5.7,40.0,1.2,12.5,2.24
3.5,23.5,2.22,17.6,2.62
6.8,17.2,2.66,11.6,3.96
7.6,15.7,1.36,13.9,4.58
9.2,17.1,2.98,16.7,2.36
3.0,31.0,2.78,12.2,3.48
4.6,15.6,2.46,13.4,4.36
5.4,25.7,1.46,17.4,2.06
7.9,16.3,1.24,17.5,2.72
6.1,14.6,1.9,10.8,4.14
2.9,39.0,2.04,17.8,2.1
5.4,15.3,2.94,14.4,2.56
1.5,36.6,1.56,13.6,4.36
1.1,3.7,1.7,16.8,3.82
1.6,13.0,2.4,11.8,3.96
1.5,35.7,2.86,17.4,3.38
1.1,25.4,1.32,17.2,1.48
0.7,20.7,1.94,19.8,4.54
8.3,9.4,2.52,12.6,3.16
0.2,34.7,1.46,11.2,2.88
1.5,32.6,2.06,15.6,2.04
2.9,17.0,2.88,15.9,1.94
2.2,24.9,2.8,11.1,2.38
9.1,18.9,2.68,10.8,4.5
0.4,19.8,1.0,19.1,3.62
8.3,22.0,2.56,17.6,4.02
6.4,2.3,2.32,18.3,4.16
2.9,24.3,1.1,17.6,2.64
2.0,32.3,2.54,12.6,4.12
8.3,12.7,2.08,18.9,3.64
6.9,9.2,1.74,16.2,2.62
2.1,29.9,1.64,19.2,4.88
8.1,13.2,1.14,12.8,3.06
7.1,5.4,2.78,12.1,2.48
3.1,15.7,2.56,17.2,4.6
3.2,2.8,2.54,18.7,2.76
1.5,21.0,1.38,11.8,2.26
7.5,15.3,2.08,13.7,1.68
3.7,29.2,1.94,19.4,1.22
9.7,22.1,2.64,13.8,4.48
1.3,11.4,2.1,11.4,2.78
3.5,15.7,2.92,15.3,2.08
9.6,25.8,2.98,13.1,3.22
2.2,25.0,2.74,14.5,2.36
6.5,12.1,1.18,16.0,2.8
8.4,29.8,2.02,19.2,1.74
0.1,26.2,1.98,15.1,1.56
9.0,38.0,1.66,13.3,1.22
7.2,4.8,1.7,17.2,3.92
6.4,37.6,2.2,13.4,3.72
7.4,32.8,2.98,16.9,2.62
6.6,29.6,1.3,13.6,4.12
5.1,36.1,2.56,17.7,1.04
6.1,7.6,1.34,16.0,2.72
2.2,12.6,2.4,14.8,4.14
2.5,19.6,1.92,10.8,4.7
6.7,22.0,2.7,11.8,2.74
8.1,9.0,1.62,18.6,2.04
5.4,0.7,1.84,12.7,3.0
0.5,3.1,2.64,17.9,1.06
3.4,31.9,1.78,12.5,2.12
2.1,39.3,2.28,13.7,4.62
4.2,26.8,1.68,13.9,1.54
1.4,19.0,2.36,12.4,1.3
8.5,34.8,1.98,19.8,1.24
5.9,16.2,1.22,16.8,4.98
10.0,6.0,2.5,17.0,4.66
1.1,26.3,2.68,12.2,2.04
4.8,28.4,2.14,18.8,1.94
4.1,9.4,2.64,16.4,1.48
3.7,4.0,2.24,12.1,2.3
8.1,14.8,2.44,16.3,4.14
4.4,20.3,1.96,16.7,3.06
3.4,26.6,1.7,15.7,1.04
2.9,0.1,2.06,12.7,4.0
8.7,17.7,1.92,17.7,4.12
2.9,19.3,1.62,19.6,4.36
7.7,38.6,2.96,16.7,2.86
0.5,33.5,2.88,17.4,1.2
6.6,19.5,2.04,19.5,1.4
7.9,34.2,1.62,10.3,3.52
0.6,24.8,2.22,10.0,2.8
5.1,21.1,1.72,12.5,4.02
1.3,15.2,2.9,13.2,2.88
7.2,15.7,3.0,18.0,2.86
1.4,36.1,1.74,12.6,4.84
2.0,13.8,1.58,14.1,3.56
3.4,22.0,2.14,16.8,4.62
6.5,27.2,1.62,17.0,4.98
9.0,15.3,2.3,16.3,3.22
0.1,24.8,2.0,12.4,1.66
3.4,27.8,1.2,17.1,2.58
8.1,30.3,2.16,19.7,4.9
7.7,27.5,1.38,10.3,2.64
1.9,0.1,1.72,11.1,1.56
8.1,8.7,2.44,15.7,3.6
0.9,28.6,1.96,19.4,1.2
2.4,12.9,1.36,11.0,3.7
6.5,7.7,2.08,20.0,2.22
2.4,25.9,1.78,15.8,3.04
5.3,24.0,1.12,13.5,1.64
3.2,14.0,1.08,12.1,3.7
3.5,22.7,1.82,16.4,4.04
9.4,16.2,2.74,14.9,2.74
1.3,23.5,1.94,10.3,4.06
6.4,12.7,1.12,19.9,4.06
7.9,19.9,1.2,17.1,1.32
5.3,38.9,2.44,18.8,2.8
5.1,3.0,1.96,19.1,4.12
0.2,13.7,1.58,15.1,1.84
9.8,2.0,1.8,20.1,2.44
4.0,23.3,1.04,19.9,1.08
0.5,20.1,2.7,19.9,4.54
2.4,27.8,1.78,14.2,2.1
1.2,13.0,2.0,14.5,4.8
9.7,14.7,2.66,10.3,2.12
0.7,2.8,1.62,11.2,4.44
2.0,36.0,1.94,13.7,4.28
9.7,30.7,2.4,14.4,2.42
6.7,37.0,2.4,12.4,2.56
2.4,16.1,1.38,16.6,1.7
7.8,35.6,2.76,15.4,4.2
6.7,33.9,1.68,19.5,3.66
4.4,6.0,1.46,13.8,3.28
5.9,12.4,1.78,16.4,2.4
1.1,7.0,2.52,17.4,4.44
3.1,32.5,2.02,10.1,2.82
9.5,39.4,1.76,16.8,3.68
9.1,36.3,2.34,18.5,3.08
1.2,24.2,2.2,16.1,2.28
3.0,24.8,2.5,14.5,1.46
7.7,22.0,2.6,17.6,1.88
1.9,2.0,2.28,18.6,4.76
1.7,38.6,2.22,13.0,3.92
9.2,8.1,2.6,19.8,3.32
5.9,34.3,1.02,20.1,4.18
6.2,36.6,1.1,13.4,1.58
0.5,0.9,2.48,14.4,2.28
3.1,1.1,1.84,17.6,4.18
9.2,26.2,2.62,15.3,4.68
4.2,14.4,1.78,17.0,3.94
0.1,19.1,2.76,16.8,2.68
5.9,24.9,1.76,12.8,2.64
2.2,11.3,1.54,17.1,3.26
8.2,2.5,2.58,10.7,2.9
3.0,27.0,2.24,15.3,4.14
0.4,3.2,2.26,10.6,2.72
8.2,6.1,1.22,18.2,4.72
3.3,22.8,1.8,12.2,4.78
0.9,30.2,1.56,19.9,2.32
8.8,9.4,1.44,13.1,1.6
0.1,3.4,2.68,16.1,2.3
1.0,19.2,2.58,14.4,2.06
4.9,7.5,2.0,16.7,1.18
3.0,37.8,1.88,12.9,4.3
5.5,24.8,2.78,13.8,2.64
7.8,8.2,3.0,10.4,4.16
7.2,2.4,1.42,16.6,1.56
8.6,5.6,1.18,12.1,4.04
8.2,3.1,1.12,12.7,1.62
0.8,31.8,2.44,12.1,1.32
9.8,1.1,2.76,18.5,3.28
2.0,31.8,1.28,19.7,1.88
7.2,33.2,2.52,12.8,1.96
2.7,9.1,1.9,14.2,2.72
6.1,0.0,2.78,14.1,3.9
0.6,32.5,2.68,15.9,2.48
7.9,13.5,2.72,17.6,3.44
1.5,19.5,2.2,17.0,3.46
9.6,13.2,2.82,17.3,2.02
0.3,8.5,2.2,19.1,3.94
0.3,29.4,2.0,16.7,4.78
3.9,27.8,1.74,15.8,3.8
1.6,32.3,1.22,19.5,2.74
10.0,17.9,2.74,18.5,4.4
5.1,0.3,2.52,18.3,2.66
9.2,12.5,2.3,18.3,3.1
5.1,17.4,2.06,10.5,2.82
3.5,25.0,1.76,17.2,2.96
3.7,2.0,2.5,12.7,1.4
4.9,10.4,1.76,17.6,1.1
6.2,6.5,2.54,13.0,4.96
10.0,26.2,1.58,13.8,2.04
6.2,4.8,1.94,14.9,2.72
6.1,1.5,2.64,17.7,4.58
9.8,14.4,1.6,18.5,4.92
0.6,33.9,1.48,13.6,2.7
2.6,24.9,2.34,18.7,3.72
9.1,34.2,2.0,17.1,2.9
8.5,35.3,1.24,11.4,4.46
1.3,7.4,2.98,15.0,3.24
7.0,28.9,2.24,16.9,2.4
10.0,28.1,1.82,12.2,4.14
8.5,6.5,2.06,12.4,1.84
0.4,12.4,3.0,19.4,4.72
5.4,31.8,2.32,14.5,4.3
0.1,8.6,2.58,19.2,1.66
6.1,4.0,2.78,12.2,1.9
9.0,18.5,2.1,10.9,1.62
2.0,35.3,1.36,17.2,3.86
7.8,37.9,1.9,17.6,4.32
2.0,33.4,1.28,13.1,1.0
0.9,26.5,1.62,15.0,4.68
8.6,27.0,1.96,14.0,1.38
5.7,4.1,1.4,16.4,4.38
3.8,9.2,2.28,16.4,2.42
0.4,18.4,2.38,20.0,4.22
6.4,21.4,1.52,13.9,4.54
1.2,1.6,1.44,11.7,1.2
8.4,26.4,1.92,13.5,3.12
8.9,11.3,2.88,13.0,1.84
8.4,29.1,1.22,15.3,1.18
5.2,29.1,2.68,16.2,1.14
8.1,4.7,2.3,10.0,4.98
10.0,30.6,1.08,15.1,1.36
4.4,9.6,1.16,19.9,4.84
3.1,37.4,1.38,15.6,2.08
3.5,9.4,2.62,10.8,4.58
8.0,32.5,2.24,18.5,1.04
9.8,7.3,2.7,19.1,2.04
5.9,33.5,2.42,18.9,1.86
1.0,6.7,2.94,17.3,2.9
6.2,24.5,2.44,15.5,1.94
2.0,7.6,2.4,14.6,2.06
5.1,20.7,1.58,10.2,3.86
5.4,37.1,2.62,10.1,4.14
2.5,25.3,2.8,15.3,2.82
6.7,22.0,1.3,13.6,4.1
3.3,26.1,2.68,15.5,3.86
5.1,33.0,1.08,13.0,2.0
8.1,34.3,1.56,19.6,4.2
9.8,25.8,1.92,19.5,4.04
9.2,30.7,3.0,11.1,1.34
5.1,7.3,1.42,15.7,3.5
2.8,12.4,2.54,16.6,4.06
3.7,18.7,2.12,12.5,1.1
4.1,25.3,2.64,17.7,4.3
2.0,32.0,1.68,11.1,4.42
4.1,30.7,2.74,18.9,4.88
1.2,23.4,2.18,11.5,4.4
6.3,24.9,2.38,15.2,3.66
1.6,33.1,2.18,17.1,2.54
0.8,39.7,2.14,14.8,4.82
4.0,34.4,1.04,14.8,2.62
0.0,7.1,1.66,19.1,2.58
0.1,23.4,1.88,10.6,2.74
5.9,32.3,1.98,11.4,1.24
4.7,15.5,1.02,13.5,2.28
2.8,39.3,1.28,17.1,4.3
9.6,11.4,1.72,17.3,2.26
0.9,31.2,1.28,11.4,1.26
5.7,22.7,2.18,16.1,3.88
5.9,32.1,2.9,11.7,3.4
2.0,34.5,2.68,14.5,2.52
2.7,24.4,2.26,20.0,1.24
7.4,30.5,2.6,16.0,2.44
3.3,1.3,2.94,14.2,3.66
